Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,ITI,-1,17369528
0.00,0.00,ITI,-1,17397608
0.00,0.00,ITI,-1,17425688
0.00,0.00,ITI,-1,17453768
0.00,0.00,ITI,-1,17481848
0.00,0.00,ITI,-1,17509928
0.00,0.00,ITI,-1,17538008
0.00,0.00,ITI,-1,17566088
0.00,0.00,ITI,-1,17594168
0.00,0.00,ITI,-1,17622248
0.00,0.00,ITI,-1,17650328
0.00,0.00,ITI,-1,17678408
0.00,0.00,ITI,-1,17706488
0.00,0.00,ITI,-1,17734568
0.00,0.00,ITI,-1,17762648
0.00,0.00,ITI,-1,17790728
0.00,0.00,ITI,-1,17818808
0.00,0.00,ITI,-1,17846888
0.00,0.00,ITI,-1,17874968
0.00,0.00,ITI,-1,17903048
0.00,0.00,ITI,-1,17931128
0.00,0.00,ITI,-1,17959208
0.00,0.00,ITI,-1,17987288
0.00,0.00,ITI,-1,18015368
0.00,0.00,ITI,-1,18043448
0.00,0.00,ITI,-1,18071528
0.00,0.00,ITI,-1,18099608
0.00,0.00,ITI,-1,18127696
0.00,0.00,ITI,-1,18155768
0.00,0.00,ITI,-1,18183848
0.00,0.00,ITI,-1,18211928
0.00,0.00,ITI,-1,18240008
0.00,0.00,ITI,-1,18268088
0.00,0.00,ITI,-1,18296168
0.00,0.00,ITI,-1,18324248
0.00,0.00,ITI,-1,18352328
0.00,0.00,ITI,-1,18380408
0.00,0.00,ITI,-1,18408488
0.00,0.00,ITI,-1,18436568
0.00,0.00,ITI,-1,18464648
0.00,0.00,ITI,-1,18492728
0.00,0.00,ITI,-1,18520808
0.00,0.00,ITI,-1,18548888
0.00,0.00,ITI,-1,18576968
0.00,0.00,ITI,-1,18605048
0.00,0.00,ITI,-1,18633128
0.00,0.00,ITI,-1,18661208
0.00,0.00,ITI,-1,18689288
0.00,0.00,ITI,-1,18717368
0.00,0.00,ITI,-1,18745448
0.00,0.00,ITI,-1,18773528
0.00,0.00,ITI,-1,18801608
0.00,0.00,ITI,-1,18829688
0.00,0.00,ITI,-1,18857768
0.00,0.00,ITI,-1,18885848
0.00,0.00,ITI,-1,18913928
0.00,0.00,ITI,-1,18942008
0.00,0.00,ITI,-1,18970088
0.00,0.00,ITI,-1,18998168
0.00,0.00,ITI,-1,19026248
0.00,0.00,ITI,-1,19054328
0.00,0.00,ITI,-1,19082408
0.00,0.00,ITI,-1,19110488
0.00,0.00,ITI,-1,19138568
0.00,0.00,ITI,-1,19166648
0.00,0.00,ITI,-1,19194728
0.00,0.00,ITI,-1,19222808
0.00,0.00,ITI,-1,19250888
0.00,0.00,ITI,-1,19278968
0.00,0.00,ITI,-1,19307048
0.00,0.00,ITI,-1,19335128
0.00,0.00,ITI,-1,19363208
0.00,0.00,ITI,-1,19391288
0.00,0.00,ITI,-1,19419368
0.00,0.00,ITI,-1,19447448
0.00,0.00,ITI,-1,19475528
0.00,0.00,ITI,-1,19503608
0.00,0.00,ITI,High_BOI,19537928
0.00,0.00,Stimulus,High_BOI,19577448
0.00,0.00,Stimulus,High_BOI,19616968
0.00,0.00,Stimulus,High_BOI,19656488
0.00,0.00,Stimulus,High_BOI,19696008
0.00,0.00,Stimulus,High_BOI,19735528
0.00,0.00,Stimulus,High_BOI,19775048
0.00,0.00,Stimulus,High_BOI,19814568
0.00,0.00,Stimulus,High_BOI,19854088
0.00,0.00,Stimulus,High_BOI,19893608
0.00,0.00,Stimulus,High_BOI,19933128
0.00,0.00,Stimulus,High_BOI,19972648
0.00,0.00,ITI,-1,20000728
0.00,0.00,ITI,-1,20028808
0.00,0.00,ITI,-1,20056888
0.00,0.00,ITI,-1,20084968
0.00,0.00,ITI,-1,20113048
0.00,0.00,ITI,-1,20141128
0.00,0.00,ITI,-1,20169208
0.00,0.00,ITI,-1,20197288
0.00,0.00,ITI,-1,20225368
0.00,0.00,ITI,-1,20253448
0.00,0.00,ITI,-1,20281528
0.00,0.00,ITI,-1,20309608
0.00,0.00,ITI,-1,20337688
0.00,0.00,ITI,-1,20365768
0.00,0.00,ITI,-1,20393848
0.00,0.00,ITI,-1,20421928
0.00,0.00,ITI,-1,20450008
0.00,0.00,ITI,-1,20478088
0.00,0.00,ITI,-1,20506168
0.00,0.00,ITI,-1,20534248
0.00,0.00,ITI,-1,20562328
0.00,0.00,ITI,-1,20590412
0.00,0.00,ITI,-1,20618488
0.00,0.00,ITI,-1,20646568
0.00,0.00,ITI,-1,20674648
0.00,0.00,ITI,-1,20702728
0.00,0.00,ITI,-1,20730808
